ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301082.SZ,20221230,15.55,15.71,15.41,15.44,15.44,0.0,0.0,8281.15,12879.013
301082.SZ,20221229,15.94,15.94,15.44,15.44,15.86,-0.42,-2.6482,12509.15,19578.331
301082.SZ,20221228,16.27,16.74,15.76,15.86,16.45,-0.59,-3.5866,26699.03,42925.437
301082.SZ,20221227,15.62,17.08,15.61,16.45,15.6,0.85,5.4487,48542.38,80070.685
301082.SZ,20221226,14.72,15.89,14.72,15.6,14.9,0.7,4.698,18240.67,28158.593
301082.SZ,20221223,14.73,15.07,14.69,14.9,14.82,0.08,0.5398,7071.0,10515.202
301082.SZ,20221222,15.8,15.8,14.77,14.82,15.32,-0.5,-3.2637,12151.62,18414.263
301082.SZ,20221221,15.38,15.54,15.09,15.32,15.5,-0.18,-1.1613,7775.0,11856.936
301082.SZ,20221220,15.52,15.61,15.2,15.5,15.4,0.1,0.6494,8498.44,13125.765
301082.SZ,20221219,15.83,16.08,15.21,15.4,15.94,-0.54,-3.3877,12521.0,19407.939
301082.SZ,20221216,16.44,16.44,15.89,15.94,16.32,-0.38,-2.3284,17208.65,27644.613
301082.SZ,20221215,16.18,16.35,16.15,16.32,16.21,0.11,0.6786,9065.0,14743.048
301082.SZ,20221214,16.18,16.31,16.1,16.21,16.18,0.03,0.1854,6731.0,10902.857
301082.SZ,20221213,16.25,16.29,16.1,16.18,16.23,-0.05,-0.3081,7212.0,11675.871
301082.SZ,20221212,16.49,16.49,16.14,16.23,16.38,-0.15,-0.9158,10489.78,17022.665
301082.SZ,20221209,16.52,16.59,16.32,16.38,16.53,-0.15,-0.9074,10589.0,17384.326
301082.SZ,20221208,16.75,16.78,16.52,16.53,16.75,-0.22,-1.3134,10444.0,17396.604
301082.SZ,20221207,16.84,16.89,16.62,16.75,16.77,-0.02,-0.1193,12878.5,21572.079
301082.SZ,20221206,16.9,17.0,16.7,16.77,16.92,-0.15,-0.8865,13889.06,23359.898
301082.SZ,20221205,17.0,17.03,16.83,16.92,16.93,-0.01,-0.0591,11086.15,18727.791
301082.SZ,20221202,16.73,16.99,16.66,16.93,16.7,0.23,1.3772,13621.88,22948.153
301082.SZ,20221201,17.04,17.2,16.65,16.7,17.05,-0.35,-2.0528,30079.84,50844.006
