ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603220.SH,20241231,24.27,24.39,22.95,22.97,24.26,-1.29,-5.3174,237619.72,559142.851
603220.SH,20241230,23.85,24.68,23.47,24.26,23.52,0.74,3.1463,299259.45,723210.369
603220.SH,20241227,24.23,24.28,23.45,23.52,24.0,-0.48,-2.0,226930.1,540888.567
603220.SH,20241226,23.07,24.25,23.02,24.0,23.1,0.9,3.8961,306823.57,735487.917
603220.SH,20241225,23.7,24.1,22.89,23.1,23.9,-0.8,-3.3473,234668.1,547063.218
603220.SH,20241224,24.19,24.57,23.37,23.9,24.07,-0.17,-0.7063,287755.1,688783.876
603220.SH,20241223,25.45,26.14,23.98,24.07,25.4,-1.33,-5.2362,397223.61,995995.085
603220.SH,20241220,24.9,26.28,24.6,25.4,25.47,-0.07,-0.2748,548418.24,1385605.096
603220.SH,20241219,24.0,26.23,23.8,25.47,24.61,0.86,3.4945,561567.05,1419952.739
603220.SH,20241218,23.97,26.27,23.18,24.61,23.88,0.73,3.057,544353.87,1341816.382
603220.SH,20241217,22.63,24.0,22.62,23.88,22.86,1.02,4.4619,414153.08,975857.662
603220.SH,20241216,22.71,23.17,22.25,22.86,22.61,0.25,1.1057,169742.21,385756.886
603220.SH,20241213,22.56,23.08,22.5,22.61,22.74,-0.13,-0.5717,193967.93,443497.546
603220.SH,20241212,22.8,22.91,22.41,22.74,22.84,-0.1,-0.4378,152410.9,345099.726
603220.SH,20241211,22.17,22.85,22.09,22.84,22.17,0.67,3.0221,216330.07,488392.949
603220.SH,20241210,22.6,22.74,22.11,22.17,22.03,0.14,0.6355,147975.6,331830.202
603220.SH,20241209,22.32,22.38,21.82,22.03,22.32,-0.29,-1.2993,111221.92,245253.351
603220.SH,20241206,22.26,22.36,21.89,22.32,22.11,0.21,0.9498,126980.05,281916.778
603220.SH,20241205,21.75,22.13,21.75,22.11,21.74,0.37,1.7019,97826.21,215592.649
603220.SH,20241204,22.0,22.28,21.65,21.74,22.18,-0.44,-1.9838,100552.41,220326.094
603220.SH,20241203,22.47,22.52,21.88,22.18,22.52,-0.34,-1.5098,132560.94,293931.836
603220.SH,20241202,22.18,22.54,22.11,22.52,22.14,0.38,1.7164,126604.12,283808.689
603220.SH,20241129,21.73,22.35,21.55,22.14,21.8,0.34,1.5596,140887.37,310376.858
603220.SH,20241128,22.33,22.44,21.73,21.8,22.35,-0.55,-2.4609,132510.1,292561.321
603220.SH,20241127,21.67,22.37,20.91,22.35,21.9,0.45,2.0548,172635.1,372630.519
603220.SH,20241126,21.68,22.47,21.31,21.9,21.2,0.7,3.3019,190525.46,419948.715
603220.SH,20241125,21.53,21.6,20.69,21.2,21.54,-0.34,-1.5785,144923.7,305396.274
603220.SH,20241122,22.51,22.87,21.51,21.54,22.47,-0.93,-4.1389,158464.42,353498.238
603220.SH,20241121,22.76,23.03,22.15,22.47,22.8,-0.33,-1.4474,138852.82,313637.102
603220.SH,20241120,22.41,23.06,22.22,22.8,22.46,0.34,1.5138,136706.9,311530.777
603220.SH,20241119,21.93,22.49,21.67,22.46,21.9,0.56,2.5571,138841.74,306933.829
603220.SH,20241118,23.43,23.57,21.6,21.9,23.37,-1.47,-6.2901,203550.43,452676.818
603220.SH,20241115,23.7,24.39,23.36,23.37,23.8,-0.43,-1.8067,176293.85,422579.709
603220.SH,20241114,25.01,25.11,23.76,23.8,25.28,-1.48,-5.8544,246319.88,600399.836
603220.SH,20241113,24.82,25.55,24.7,25.28,25.16,0.12,0.4769,202027.53,507651.348
603220.SH,20241112,26.48,26.56,24.81,25.16,26.3,-1.14,-4.3346,376266.7,962220.813
603220.SH,20241111,25.3,26.48,24.7,26.3,25.29,1.01,3.9937,484411.58,1250448.19
603220.SH,20241108,24.06,25.4,24.05,25.29,24.56,0.73,2.9723,519696.98,1291375.211
603220.SH,20241107,24.18,24.68,23.85,24.56,24.38,0.18,0.7383,255107.29,620833.647
603220.SH,20241106,24.45,24.91,23.97,24.38,24.28,0.1,0.4119,317725.19,778942.126
603220.SH,20241105,23.57,24.49,23.43,24.28,23.75,0.53,2.2316,309617.22,745800.058
603220.SH,20241104,22.98,24.1,22.88,23.75,23.38,0.37,1.5825,230077.89,544850.789
603220.SH,20241101,25.05,25.3,23.25,23.38,25.58,-2.2,-8.6005,469959.43,1136766.546
603220.SH,20241031,25.92,27.23,24.88,25.58,25.91,-0.33,-1.2736,695825.25,1810713.894
603220.SH,20241030,23.99,26.4,23.75,25.91,24.0,1.91,7.9583,690259.86,1734488.606
603220.SH,20241029,23.34,24.55,22.9,24.0,23.28,0.72,3.0928,440816.02,1053884.669
603220.SH,20241028,23.15,23.45,23.0,23.28,23.47,-0.19,-0.8095,196848.29,456330.044
603220.SH,20241025,23.69,23.8,23.21,23.47,23.68,-0.21,-0.8868,253650.63,594071.864
603220.SH,20241024,23.38,24.39,22.98,23.68,23.28,0.4,1.7182,314211.19,743765.646
603220.SH,20241023,23.5,23.97,23.17,23.28,23.52,-0.24,-1.0204,293423.27,693829.158
603220.SH,20241022,24.23,24.33,23.13,23.52,24.22,-0.7,-2.8902,347180.73,819718.603
603220.SH,20241021,23.81,25.02,23.44,24.22,23.29,0.93,3.9931,520918.13,1262728.433
603220.SH,20241018,22.41,23.85,22.22,23.29,22.37,0.92,4.1127,427424.42,987705.949
603220.SH,20241017,21.83,22.76,21.83,22.37,21.85,0.52,2.3799,311081.32,697179.793
603220.SH,20241016,21.5,22.45,21.18,21.85,21.9,-0.05,-0.2283,254698.12,556041.614
603220.SH,20241015,21.77,22.95,21.42,21.9,21.53,0.37,1.7185,388714.18,870405.996
603220.SH,20241014,20.78,21.59,20.25,21.53,20.82,0.71,3.4102,221786.01,465639.98
603220.SH,20241011,22.02,22.12,20.46,20.82,22.34,-1.52,-6.8039,226330.0,479369.087
603220.SH,20241010,22.61,23.32,21.8,22.34,22.32,0.02,0.0896,280997.38,636854.006
603220.SH,20241009,24.0,24.41,22.23,22.32,24.54,-2.22,-9.0465,388695.94,912007.136
603220.SH,20241008,24.54,24.54,22.63,24.54,22.31,2.23,9.9955,489640.07,1181039.312
603220.SH,20240930,22.0,22.31,20.82,22.31,20.28,2.03,10.0099,433096.89,947037.128
603220.SH,20240927,19.51,20.29,19.27,20.28,19.18,1.1,5.7351,173272.53,340807.084
603220.SH,20240926,18.64,19.18,18.57,19.18,18.72,0.46,2.4573,179066.38,337919.576
603220.SH,20240925,18.63,19.22,18.63,18.72,18.57,0.15,0.8078,219301.21,415229.622
603220.SH,20240924,17.85,18.74,17.5,18.57,17.98,0.59,3.2814,244687.84,444129.548
603220.SH,20240923,17.59,18.43,17.45,17.98,17.58,0.4,2.2753,180617.81,325068.129
603220.SH,20240920,17.47,17.7,17.41,17.58,17.45,0.13,0.745,87693.2,153855.827
603220.SH,20240919,17.25,17.63,17.1,17.45,17.15,0.3,1.7493,102978.12,179536.234
603220.SH,20240918,17.33,17.49,16.82,17.15,17.26,-0.11,-0.6373,71617.8,122569.636
603220.SH,20240913,17.57,17.73,17.26,17.26,17.63,-0.37,-2.0987,77911.2,136091.665
603220.SH,20240912,17.94,18.1,17.59,17.63,17.79,-0.16,-0.8994,68392.09,121811.53
603220.SH,20240911,18.0,18.1,17.73,17.79,18.16,-0.37,-2.0374,80356.9,143563.324
603220.SH,20240910,17.6,18.34,17.29,18.16,17.56,0.6,3.4169,135965.77,242613.716
603220.SH,20240909,17.52,17.83,17.31,17.56,17.64,-0.08,-0.4535,75382.58,132151.798
603220.SH,20240906,18.09,18.12,17.61,17.64,18.05,-0.41,-2.2715,72585.25,129163.238
603220.SH,20240905,17.99,18.25,17.86,18.05,17.93,0.12,0.6693,67249.89,121227.066
603220.SH,20240904,17.94,18.13,17.74,17.93,18.14,-0.21,-1.1577,81213.4,145416.408
603220.SH,20240903,17.7,18.23,17.68,18.14,17.72,0.42,2.3702,108564.63,195361.581
603220.SH,20240902,18.45,18.55,17.71,17.72,18.55,-0.83,-4.4744,122650.5,221842.863
603220.SH,20240830,18.08,18.95,17.96,18.55,17.98,0.57,3.1702,174409.05,324591.601
