ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920056.BJ,20251231,24.82,24.95,24.73,24.77,24.77,0.0,0.0,4842.06,12010.199
920056.BJ,20251230,25.18,25.36,24.75,24.77,25.17,-0.4,-1.5892,8052.04,20081.817
920056.BJ,20251229,25.41,25.79,25.14,25.17,25.51,-0.34,-1.3328,9472.8,23990.865
920056.BJ,20251226,24.97,26.15,24.85,25.51,24.99,0.52,2.0808,17963.21,45932.034
920056.BJ,20251225,24.97,25.2,24.82,24.99,24.93,0.06,0.2407,6962.9,17384.225
920056.BJ,20251224,24.96,24.96,24.65,24.93,24.79,0.14,0.5647,5571.58,13818.274
920056.BJ,20251223,25.39,25.39,24.71,24.79,25.18,-0.39,-1.5488,7772.65,19379.449
920056.BJ,20251222,25.24,25.54,25.11,25.18,25.37,-0.19,-0.7489,7615.91,19212.733
920056.BJ,20251219,25.48,25.63,25.31,25.37,25.32,0.05,0.1975,7098.95,18052.735
920056.BJ,20251218,25.75,25.82,25.28,25.32,25.72,-0.4,-1.5552,9306.56,23783.091
920056.BJ,20251217,25.72,26.29,25.55,25.72,25.8,-0.08,-0.3101,16368.08,42499.231
920056.BJ,20251216,25.13,25.93,25.09,25.8,25.42,0.38,1.4949,12281.89,31355.148
920056.BJ,20251215,25.22,26.1,25.09,25.42,25.4,0.02,0.0787,11717.31,30062.844
920056.BJ,20251212,25.45,26.1,25.0,25.4,25.43,-0.03,-0.118,15672.14,40077.145
920056.BJ,20251211,24.74,26.39,24.74,25.43,24.95,0.48,1.9238,21977.12,56428.168
920056.BJ,20251210,24.61,25.11,24.32,24.95,24.6,0.35,1.4228,6093.44,15082.006
920056.BJ,20251209,25.59,25.6,24.49,24.6,25.06,-0.46,-1.8356,7007.68,17432.183
920056.BJ,20251208,24.73,25.39,24.71,25.06,24.74,0.32,1.2935,7665.85,19235.04
920056.BJ,20251205,24.58,24.76,24.31,24.74,24.57,0.17,0.6919,5618.66,13786.548
920056.BJ,20251204,24.77,24.88,24.42,24.57,24.83,-0.26,-1.0471,6550.15,16122.679
920056.BJ,20251203,25.06,25.15,24.75,24.83,25.1,-0.27,-1.0757,7279.05,18093.755
920056.BJ,20251202,25.49,25.52,25.01,25.1,25.47,-0.37,-1.4527,6680.77,16809.939
920056.BJ,20251201,25.2,25.55,25.05,25.47,25.17,0.3,1.1919,8865.0,22477.071
920056.BJ,20251128,25.23,25.26,25.0,25.17,25.2,-0.03,-0.119,6064.53,15246.732
920056.BJ,20251127,25.56,25.64,25.16,25.2,25.47,-0.27,-1.0601,10792.11,27401.594
920056.BJ,20251126,25.79,26.11,25.41,25.47,25.9,-0.43,-1.6602,10535.4,27079.945
920056.BJ,20251125,26.4,26.85,25.77,25.9,26.41,-0.51,-1.9311,19222.73,50356.864
920056.BJ,20251124,25.18,26.79,24.71,26.41,25.06,1.35,5.3871,30437.82,78926.757
920056.BJ,20251121,26.07,26.07,24.9,25.06,26.16,-1.1,-4.2049,20408.49,51714.427
920056.BJ,20251120,26.72,26.92,26.16,26.16,26.72,-0.56,-2.0958,14624.87,38662.345
920056.BJ,20251119,26.61,27.1,26.31,26.72,26.75,-0.03,-0.1121,17216.17,45842.678
920056.BJ,20251118,27.69,27.76,26.69,26.75,27.74,-0.99,-3.5689,28592.36,77386.691
920056.BJ,20251117,28.38,28.78,27.67,27.74,28.6,-0.86,-3.007,29729.12,83045.96
920056.BJ,20251114,29.28,29.74,28.36,28.6,29.2,-0.6,-2.0548,50700.2,147211.865
920056.BJ,20251113,27.85,29.87,27.18,29.2,28.05,1.15,4.0998,62801.7,179866.846
920056.BJ,20251112,28.84,29.88,27.48,28.05,27.95,0.1,0.3578,55452.68,159432.475
920056.BJ,20251111,26.96,27.97,26.6,27.95,26.67,1.28,4.7994,41854.15,115305.876
920056.BJ,20251110,26.57,26.7,26.39,26.67,26.57,0.1,0.3764,8242.83,21885.418
920056.BJ,20251107,26.83,26.86,26.52,26.57,26.68,-0.11,-0.4123,7658.2,20426.585
920056.BJ,20251106,26.83,26.86,26.56,26.68,26.78,-0.1,-0.3734,8204.0,21871.534
920056.BJ,20251105,26.58,26.96,26.5,26.78,26.72,0.06,0.2246,9783.41,26194.644
920056.BJ,20251104,27.24,27.24,26.59,26.72,27.26,-0.54,-1.9809,11175.95,29939.768
920056.BJ,20251103,27.1,27.49,27.05,27.26,27.21,0.05,0.1838,11336.82,30909.05
920056.BJ,20251031,27.0,27.56,26.91,27.21,27.09,0.12,0.443,15896.89,43405.772
920056.BJ,20251030,27.42,28.12,27.0,27.09,27.41,-0.32,-1.1675,32506.4,89974.111
920056.BJ,20251029,26.56,27.55,26.35,27.41,26.56,0.85,3.2003,19305.54,52156.946
920056.BJ,20251028,26.76,26.88,26.51,26.56,26.75,-0.19,-0.7103,8048.33,21471.7
920056.BJ,20251027,27.1,27.1,26.68,26.75,26.94,-0.19,-0.7053,8418.98,22540.134
920056.BJ,20251024,27.23,27.23,26.78,26.94,27.15,-0.21,-0.7735,12697.5,34209.143
920056.BJ,20251023,26.96,27.3,26.5,27.15,27.06,0.09,0.3326,15683.35,42135.633
920056.BJ,20251022,26.68,27.28,26.3,27.06,26.59,0.47,1.7676,16408.69,44239.201
920056.BJ,20251021,26.27,26.62,26.26,26.59,26.15,0.44,1.6826,12479.32,33079.532
920056.BJ,20251020,26.66,26.69,26.04,26.15,26.44,-0.29,-1.0968,10811.8,28430.953
920056.BJ,20251017,26.72,27.12,26.4,26.44,26.79,-0.35,-1.3065,15552.2,41693.086
920056.BJ,20251016,27.28,27.28,26.66,26.79,27.05,-0.26,-0.9612,11078.19,29793.134
920056.BJ,20251015,26.7,27.1,26.5,27.05,26.8,0.25,0.9328,14957.92,39965.677
920056.BJ,20251014,26.89,27.23,26.74,26.8,26.78,0.02,0.0747,17752.63,47884.836
920056.BJ,20251013,26.66,26.88,26.52,26.78,27.24,-0.46,-1.6887,13549.21,36160.057
920056.BJ,20251010,27.07,27.35,27.05,27.24,27.06,0.18,0.6652,15219.2,41369.299
920056.BJ,20251009,27.15,27.27,26.94,27.06,27.02,0.04,0.148,15662.26,42377.558
920056.BJ,20250930,27.33,27.6,27.0,27.02,27.34,-0.32,-1.1704,15149.89,41137.37
920056.BJ,20250929,27.91,27.91,27.11,27.34,27.92,-0.58,-2.0774,19168.67,52455.997
920056.BJ,20250926,26.66,28.5,26.65,27.92,26.72,1.2,4.491,37893.94,105857.913
920056.BJ,20250925,27.1,27.2,26.7,26.72,27.13,-0.41,-1.5112,14658.82,39417.743
920056.BJ,20250924,26.87,27.34,26.72,27.13,26.87,0.26,0.9676,17291.7,46884.87
920056.BJ,20250923,28.16,28.32,26.51,26.87,28.16,-1.29,-4.581,30696.65,83150.703
920056.BJ,20250922,29.34,29.56,28.1,28.16,29.34,-1.18,-4.0218,28239.79,80408.883
920056.BJ,20250919,30.04,30.17,29.12,29.34,30.0,-0.66,-2.2,30500.25,89974.316
920056.BJ,20250918,29.8,30.45,29.53,30.0,29.7,0.3,1.0101,34296.27,103046.371
920056.BJ,20250917,29.61,29.81,29.4,29.7,29.61,0.09,0.304,16252.71,48191.367
920056.BJ,20250916,30.15,30.27,29.52,29.61,30.26,-0.65,-2.1481,27363.58,81283.251
920056.BJ,20250915,30.1,30.6,29.67,30.26,29.68,0.58,1.9542,30070.43,90612.292
920056.BJ,20250912,30.28,30.32,29.5,29.68,30.35,-0.67,-2.2076,34345.48,102506.353
920056.BJ,20250911,30.39,30.77,30.02,30.35,30.18,0.17,0.5633,27684.73,84104.556
920056.BJ,20250910,30.12,30.9,29.83,30.18,30.42,-0.24,-0.789,26988.79,81448.794
920056.BJ,20250909,31.0,31.39,30.42,30.42,31.4,-0.98,-3.121,37363.98,115197.353
920056.BJ,20250908,32.5,32.93,31.33,31.4,33.19,-1.79,-5.3932,70701.62,224363.771
920056.BJ,20250905,31.85,33.98,30.78,33.19,31.85,1.34,4.2072,106044.3,346163.836
920056.BJ,20250904,30.0,32.97,29.51,31.85,30.38,1.47,4.8387,94481.77,296887.043
920056.BJ,20250903,29.45,31.8,29.45,30.38,29.43,0.95,3.228,67826.01,207457.439
920056.BJ,20250902,30.0,30.0,29.15,29.43,30.15,-0.72,-2.3881,35115.58,103513.733
920056.BJ,20250901,29.38,30.18,28.83,30.15,29.53,0.62,2.0996,49712.49,145740.892
920056.BJ,20250829,30.0,30.0,29.31,29.53,29.81,-0.28,-0.9393,41866.85,123784.975
920056.BJ,20250828,30.0,30.5,29.31,29.81,30.57,-0.76,-2.4861,71174.89,210975.061
920056.BJ,20250827,31.37,31.96,30.33,30.57,33.0,-2.43,-7.3636,107578.33,334567.833
920056.BJ,20250826,30.42,36.3,30.36,33.0,30.35,2.65,8.7315,154775.01,516659.77
920056.BJ,20250825,30.3,31.0,29.21,30.35,32.04,-1.69,-5.2747,121947.67,364878.789
920056.BJ,20250822,36.0,37.0,31.96,32.04,7.21,24.83,344.3828,223858.93,757855.13
