,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
0,920027.BJ,20260210,21.97,1.053,1.1621,0.69,32.5913,33.4338,4.1147,5.1903,4.7534,0.5462,0.5462,7920.35,4220.35,3824.3325,174010.0895,92721.0895,0
1,300593.SZ,20260210,29.15,7.4429,7.9035,1.53,,,6.6254,17.1566,13.535,,,54249.8469,45026.3501,42402.4023,1581383.0371,1312518.1054,0
2,603530.SH,20260210,47.61,0.7152,3.394,0.63,66.1427,55.2257,12.5898,15.2819,12.7443,0.9608,0.9608,43168.4575,42746.4774,9007.9472,2055250.2616,2035159.789,0
3,688357.SH,20260210,34.0,0.7994,1.3082,0.65,45.5084,39.1242,1.9597,4.3686,4.2351,0.5882,0.5882,10005.9875,10005.9875,6114.5575,340203.575,340203.575,0
4,301389.SZ,20260210,50.13,10.1692,10.478,2.3,172.827,127.6988,6.4851,49.3567,38.3646,1.0329,1.0329,28350.0,8456.9047,8207.7047,1421185.5,423944.6326,0
5,002107.SZ,20260210,7.31,1.3182,2.678,0.75,44.0828,44.0828,5.8294,5.1648,5.1648,1.6416,1.6416,57720.96,57139.4016,28124.7653,421940.2176,417689.0257,0
6,603833.SH,20260210,60.56,0.3129,1.2187,0.67,14.1933,15.366,2.0277,1.9493,2.0203,4.0721,6.1081,60915.2867,60915.2867,15637.4513,3689029.7626,3689029.7626,0
7,600545.SH,20260210,2.71,4.6531,8.6212,3.37,,,1.5163,1.2034,1.2451,,,178791.2222,178791.2222,96497.6549,484524.2122,484524.2122,0
8,002676.SZ,20260210,8.1,1.5812,2.5588,1.03,107.6906,83.0631,4.4728,2.1622,2.0329,0.1235,0.1235,72000.0,71997.6459,44489.4056,583200.0,583180.9318,0
9,600758.SH,20260210,3.85,1.0175,2.0307,0.55,25.1795,122.3998,0.9186,0.921,1.0047,0.8312,0.8312,132201.7394,132074.3394,66178.1672,508976.6967,508486.2067,0
10,000524.SZ,20260210,12.95,1.6968,5.563,0.92,57.8047,107.8445,3.814,2.0142,1.9492,0.6178,0.6178,67020.8597,66994.8933,20434.8195,867920.1331,867583.8682,0
11,000566.SZ,20260210,6.4,2.3221,3.7568,0.88,,,29.8276,8.3811,10.0564,,,129736.5126,129673.5633,80153.1214,830313.6806,829910.8051,0
12,920753.BJ,20260210,22.51,0.779,1.1143,0.55,63.7462,59.4633,4.6423,8.4284,7.5899,1.3683,1.3683,8140.4368,3238.1525,2263.689,183241.2324,72890.8128,0
13,920088.BJ,20260210,45.91,22.0884,23.5859,0.74,75.2066,80.5385,6.022,10.6513,9.2852,0.1743,0.1743,8807.15,3178.1298,2976.3552,404336.2565,145907.9391,0
14,002320.SZ,20260210,10.58,0.906,3.3371,0.6,92.0374,122.2329,5.8719,5.6028,4.8025,0.3771,0.3771,223466.7137,223466.7137,60666.7076,2364277.8309,2364277.8309,0
15,600499.SH,20260210,16.79,1.4243,2.4815,0.58,31.9988,22.1683,2.5606,2.5556,1.9349,1.1539,1.1539,191785.6391,191785.6391,110077.5451,3220080.8805,3220080.8805,0
16,002852.SZ,20260210,11.25,1.6219,2.3477,0.75,21.873,13.7539,1.745,0.6512,0.6306,2.7022,2.7022,34396.8305,28526.7998,19707.2139,386964.3431,320926.4978,0
17,301586.SZ,20260210,50.99,1.9223,2.6309,1.0,42.1385,65.8249,3.3132,6.7497,5.6015,0.9414,0.3922,8297.5503,5291.1069,3866.1069,423092.0898,269793.5408,0
18,600871.SH,20260210,3.03,2.3688,11.3829,0.54,90.9425,91.9745,6.0169,0.7083,0.7059,,,1895704.5833,1354701.2351,281911.5987,5743984.8874,4104744.7424,0
19,002067.SZ,20260210,5.64,7.3889,7.6434,2.43,116.7227,133.9612,1.2568,1.5181,1.4783,,,147485.3853,133760.3853,129305.3853,831817.5731,754408.5731,0
20,601225.SH,20260210,23.06,0.4006,1.1527,0.57,9.9986,11.6869,2.3675,1.2141,1.2645,5.5427,5.0954,969500.0,969500.0,336903.9335,22356670.0,22356670.0,0
21,688800.SH,20260210,81.2,1.9644,3.2821,0.81,95.2862,55.2448,7.2826,6.9164,5.3078,0.3301,0.3301,20567.4335,20567.4335,12310.0935,1670075.6002,1670075.6002,0
22,002398.SZ,20260210,6.02,3.4952,3.6835,0.87,85.3026,82.5795,1.1651,1.6057,1.6341,1.3103,1.3103,69803.7488,56932.7629,54023.0871,420218.5678,342735.2327,0
23,003010.SZ,20260210,35.62,2.0567,2.6885,0.54,104.8877,72.5576,14.1245,6.2748,4.0288,1.3175,1.3175,31105.9476,22614.2182,17299.9786,1107993.8535,805518.4523,0
24,000958.SZ,20260210,6.45,0.3357,0.6856,0.8,107.3381,124.8627,5.6908,24.035,25.2557,0.86,0.86,1737312.8727,538340.1645,263543.6098,11205668.0289,3472294.061,0
25,000050.SZ,20260210,9.7,1.0002,1.7706,0.68,,203.4833,0.8668,0.7118,0.6596,,,245774.7661,245771.6686,138839.9902,2384015.2312,2383985.1854,0
26,300837.SZ,20260210,43.24,6.0685,10.6859,0.77,54.1415,104.6329,3.1359,6.6208,7.188,0.6938,0.6938,10000.1817,7558.9317,4292.6817,432407.8567,326848.2067,0
27,601990.SH,20260210,7.92,0.3347,0.6283,0.72,34.7878,28.5921,1.527,11.0708,11.4567,1.3753,1.3753,439962.7795,368636.1034,196339.0943,3484505.2136,2919597.9389,0
28,000048.SZ,20260210,17.37,1.6543,3.6484,0.68,12.9043,22.4736,2.1804,1.5453,1.8291,4.113,4.113,53028.225,52635.955,23867.3525,921100.2683,914286.5384,0
29,002075.SZ,20260210,5.57,1.3179,1.8003,0.59,75.1592,42.3849,1.8726,0.8476,0.8798,0.8977,0.8977,219382.5445,219382.192,160595.0194,1221960.7729,1221958.8094,0
30,300669.SZ,20260210,31.28,1.283,2.7059,1.1,217.5514,369.1651,6.8965,18.6275,18.6589,0.318,0.318,19270.5526,18249.9937,8653.3573,602782.8853,570859.8029,0
31,301265.SZ,20260210,13.91,3.4358,4.5183,1.13,89.205,68.9852,1.9924,6.5729,4.7989,0.2863,0.2863,30297.3182,16844.8215,12809.2373,421435.6962,234311.4671,0
32,600332.SH,20260210,25.49,0.5192,1.0836,0.51,14.6152,13.8759,1.0933,0.5526,0.5345,3.1385,3.1385,162579.0949,140589.0949,67358.5846,4144141.129,3583616.029,0
33,688485.SH,20260210,25.21,3.7882,3.7882,0.66,339.7472,211.8965,3.0236,10.5518,12.4146,0.0885,0.0885,15029.2062,8875.7978,8875.7978,378886.2883,223758.8625,0
34,600234.SH,20260210,14.87,2.508,4.7367,1.39,97.6484,65.5049,7.8072,10.4226,8.137,,,26252.0973,26252.0973,13899.8888,390368.6869,390368.6869,0
35,000750.SZ,20260210,4.22,0.7261,1.0487,0.7,62.9107,35.1694,1.1949,6.3899,7.8071,0.9953,0.9953,638617.4477,579620.3977,401352.9034,2694965.6293,2445998.0783,0
36,300190.SZ,20260210,4.65,3.7566,5.5069,1.28,,,1.3018,1.9217,2.1057,,,84620.4238,84341.928,57534.7024,393484.9707,392189.9652,0
37,301458.SZ,20260210,36.5,6.5546,7.552,1.61,92.2134,75.6961,5.8854,14.7587,13.0302,0.5425,0.5425,26666.67,11748.1987,10196.5749,973333.455,428809.2526,0
38,600678.SH,20260210,12.28,7.1292,8.9678,0.57,,225.1493,15.1999,12.0131,7.8573,,,34899.0,34899.0,27743.6516,428559.72,428559.72,0
39,300973.SZ,20260210,43.19,1.5124,1.9642,0.44,27.2936,23.3888,3.0207,1.9069,1.7158,1.5949,1.5949,16934.0521,11652.6271,8971.9711,731381.7102,503276.9644,0
40,603908.SH,20260210,25.6,1.2747,3.2347,0.82,28.4623,85.1976,4.4729,1.828,2.2866,2.5456,2.5456,9312.6988,9312.6988,3669.7674,238405.0893,238405.0893,0
41,300287.SZ,20260210,5.17,2.9458,3.0112,1.67,,,6.9024,12.6848,16.2903,,,143527.3808,131822.1968,128960.1338,742036.5587,681520.7575,0
42,603169.SH,20260210,10.76,1.247,2.3132,0.62,89.9977,198.3146,4.2466,2.4273,2.0677,,,130629.1798,130629.1798,70422.9602,1405569.9746,1405569.9746,0
43,920523.BJ,20260210,26.03,1.1316,1.469,0.85,17.5136,16.9124,3.9012,5.071,5.0179,1.1525,1.1525,10130.1369,8043.4208,6195.8757,263687.4635,209370.2434,0
44,002199.SZ,20260210,7.93,2.3119,3.6606,2.41,,,10.123,8.8884,8.1375,,,24344.2363,24344.2363,15374.6514,193049.7939,193049.7939,0
45,002758.SZ,20260210,10.45,2.3132,4.0527,0.95,14.2626,12.3903,1.1332,0.1292,0.1223,2.8194,2.8194,51880.2499,51820.5324,29578.1022,542148.6115,541524.5636,0
46,688307.SH,20260210,46.7,2.8966,2.8966,0.88,77.5924,74.8348,4.7314,9.1183,6.9849,0.9571,0.9571,8877.4,5892.3322,5892.3322,414574.58,275171.9137,0
47,603341.SH,20260210,45.7,2.8558,3.1287,0.91,47.6569,41.3511,3.3525,0.5149,0.5581,1.0645,1.0645,52259.0644,26621.2831,24299.1438,2388239.2431,1216592.6377,0
48,300784.SZ,20260210,56.9,6.2249,6.2249,0.73,48.6225,50.1605,3.9984,6.2523,6.1399,0.703,0.703,5623.76,1692.885,1692.885,319991.944,96325.1565,0
49,688553.SH,20260210,19.62,0.817,1.1353,0.7,25.5417,175.9573,2.2276,7.5943,8.4437,2.3489,2.3489,42360.0,34353.9725,24721.7805,831103.2,674024.9405,0
50,300109.SZ,20260210,19.45,4.3518,4.6104,1.39,27.0352,39.4684,2.5398,5.8853,6.5341,1.2818,1.2818,48605.0005,45002.2016,42478.897,945367.2597,875292.8211,0
51,000070.SZ,20260210,16.12,4.3762,7.0319,0.25,,,9.6259,3.2915,3.5801,,,90034.476,88867.8852,55305.3859,1451355.7531,1432550.3094,1
52,300566.SZ,20260210,20.6,4.9047,5.4323,1.23,28.4006,28.7383,2.5967,2.4821,2.495,0.962,0.962,26210.4623,22668.0431,20466.2197,539935.5234,466961.6879,0
53,600227.SH,20260210,2.59,2.327,2.8169,1.17,,,1.8266,1.8377,1.9488,,,168872.7685,127759.9803,105540.0845,437380.4704,330898.349,0
54,688177.SH,20260210,24.26,0.359,1.2316,0.93,,,20.7483,13.5173,11.8837,,,41408.0,41408.0,12070.3423,1004558.08,1004558.08,0
55,601186.SH,20260210,7.23,0.3469,0.8777,0.58,4.4195,4.6027,0.3598,0.092,0.0946,4.1494,4.1494,1357954.15,1150324.55,454692.891,9818008.5045,8316846.4965,0
56,600506.SH,20260210,24.81,2.2035,3.7634,0.61,151.7795,88.3016,9.9303,2.0589,1.9841,,,19201.8934,19201.8934,11242.8858,476398.9753,476398.9753,0
57,600892.SH,20260210,3.81,1.802,2.7659,1.4,,,282.18,12.7773,8.3879,,,55946.4188,55931.9536,36440.3789,213155.8556,213100.7432,0
58,002290.SZ,20260210,57.78,1.5675,2.7963,0.87,146.4198,91.7917,15.1106,5.6755,5.618,,,24811.233,24739.0455,13867.6272,1433593.0427,1429422.049,0
59,600787.SH,20260210,5.87,0.9985,1.9342,0.8,31.609,27.5306,0.9161,0.2017,0.2002,1.1952,1.1952,217007.9582,217007.9582,112027.9336,1273836.7146,1273836.7146,0
60,600985.SH,20260210,12.92,1.2853,3.334,1.08,7.1666,19.4773,0.8405,0.5293,0.8506,5.805,5.805,269325.8709,269325.8709,103832.6564,3479690.252,3479690.252,0
61,002581.SZ,20260210,7.32,0.8603,1.0051,0.7,,,2.5834,13.3995,18.7366,,,65973.5586,40079.1161,34306.0361,482926.449,293379.1299,0
62,002803.SZ,20260210,19.19,3.3059,3.6645,0.87,47.5085,32.879,3.3748,1.5632,1.2957,1.7269,1.7269,45040.5288,28877.0188,26051.7737,864327.7477,554149.9908,0
63,603077.SH,20260210,2.45,1.599,2.381,0.63,687.6683,,1.1916,2.5314,2.8246,,,883153.7228,883153.7228,593076.6879,2163726.6209,2163726.6209,0
64,000919.SZ,20260210,7.77,1.7234,2.957,0.84,119.5837,128.8646,1.2742,1.4726,1.4042,1.2907,1.2907,62192.4528,62176.6728,36237.6348,483235.3583,483112.7477,0
65,603629.SH,20260210,51.93,17.3185,33.3017,0.83,553.5087,72.5281,7.1758,6.0623,4.2324,0.2468,0.2468,26238.0,25685.2,13357.602,1362539.34,1333832.436,0
66,300581.SZ,20260210,15.85,1.7176,3.2955,0.97,,,9.1262,62.0464,57.8113,,,55010.9546,55010.9546,28671.0554,871923.6304,871923.6304,0
67,603733.SH,20260210,24.47,0.3138,1.5406,0.53,17.2519,17.9494,2.0902,1.6857,1.4343,2.0383,2.0383,70772.4088,70772.4088,14413.408,1731800.8433,1731800.8433,0
68,688660.SH,20260210,14.17,0.543,1.3923,0.52,,,4.3028,1.81,1.6336,,,133333.34,133333.34,52000.0098,1889333.4278,1889333.4278,0
69,603881.SH,20260210,41.9,21.6687,38.3822,1.68,227.7022,204.8213,9.1653,17.4948,16.9209,0.1428,0.1428,71837.6999,71837.6999,40556.1229,3009999.6258,3009999.6258,0
70,002025.SZ,20260210,51.79,2.4363,4.1383,0.65,67.9545,289.9299,3.6234,4.6939,4.3848,0.4441,0.4441,45542.5988,45387.67,26720.6945,2358651.1919,2350627.4293,0
71,002915.SZ,20260210,23.12,1.7791,2.5712,0.52,,,5.7591,5.3577,4.9015,,,32546.8375,28807.4875,19932.5771,752482.883,666029.111,0
