ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
300984.SZ,20241231,40.2,4.7507,7.9794,0.54,90.0714,128.2219,3.9085,3.436,3.1058,0.4522,0.3366,8448.7337,5372.3733,3198.5773,339639.0947,215969.4067,0.0
300984.SZ,20241230,41.45,6.5885,11.0662,0.7,92.8721,132.2088,4.03,3.5428,3.2023,0.4386,0.3265,8448.7337,5372.3733,3198.5773,350200.0119,222684.8733,0.0
300984.SZ,20241227,43.7,7.6845,13.1953,0.72,95.9744,136.6252,4.3924,3.6612,3.3093,0.416,0.3097,8281.4252,5205.0648,3031.2688,361898.2812,227461.3318,0.0
300984.SZ,20241226,46.31,11.0936,19.0491,1.17,101.7066,144.7852,4.6547,3.8798,3.507,0.4005,0.2982,8281.4252,5205.0648,3031.2688,383512.801,241046.5509,0.0
300984.SZ,20241225,44.52,8.6296,15.0306,0.91,96.587,137.4972,4.5708,3.6845,3.3304,0.4166,0.3102,8180.771,5104.4106,2930.6146,364207.9249,227248.3599,0.0
300984.SZ,20241224,46.31,11.935,20.7879,1.35,100.4704,143.0255,4.7545,3.8327,3.4643,0.4054,0.3018,8180.771,5104.4106,2930.6146,378851.505,236385.2549,0.0
300984.SZ,20241223,42.45,9.5951,16.7124,1.04,92.0961,131.1041,4.3582,3.5132,3.1756,0.4423,0.3293,8180.771,5104.4106,2930.6146,347273.729,216682.23,0.0
300984.SZ,20241220,42.68,12.879,22.4321,1.38,92.595,131.8144,4.3819,3.5323,3.1928,0.4399,0.3275,8180.771,5104.4106,2930.6146,349155.3063,217856.2444,0.0
300984.SZ,20241219,38.44,5.2336,9.1156,0.54,83.3963,118.7195,3.9465,3.1814,2.8756,0.4884,0.3636,8180.771,5104.4106,2930.6146,314468.8372,196213.5435,0.0
300984.SZ,20241218,38.94,7.5595,13.1668,0.75,84.481,120.2637,3.9979,3.2227,2.913,0.4822,0.359,8180.771,5104.4106,2930.6146,318559.2227,198765.7488,0.0
300984.SZ,20241217,38.15,9.1486,16.5439,0.83,81.4629,115.9671,4.0307,3.1076,2.8089,0.4922,0.3664,8051.8561,4975.4957,2751.3997,307178.3102,189815.161,0.0
300984.SZ,20241216,40.61,11.728,21.2084,0.99,86.7158,123.445,4.2906,3.308,2.9901,0.4697,0.3497,8051.8561,4975.4957,2751.3997,326985.8762,202054.8804,0.0
300984.SZ,20241213,38.41,13.9738,25.2695,1.03,82.018,116.7575,4.0581,3.1288,2.8281,0.4967,0.3698,8051.8561,4975.4957,2751.3997,309271.7928,191108.7898,0.0
300984.SZ,20241212,36.86,7.4451,13.4633,0.46,78.7083,112.0458,3.8944,3.0025,2.714,0.5175,0.3853,8051.8561,4975.4957,2751.3997,296791.4158,183396.7715,0.0
300984.SZ,20241211,36.64,9.6595,17.4678,0.55,78.2385,111.3771,3.8711,2.9846,2.6978,0.5206,0.3876,8051.8561,4975.4957,2751.3997,295020.0075,182302.1624,0.0
300984.SZ,20241210,37.51,13.3399,25.8073,0.73,76.3991,108.7586,4.3516,2.9144,2.6343,0.5086,0.3786,7680.1946,4603.8342,2379.7382,288084.0994,172689.8208,0.0
300984.SZ,20241209,37.2,17.1881,33.2521,1.12,75.7677,107.8598,4.3157,2.8903,2.6126,0.5376,0.4003,7680.1946,4603.8342,2379.7382,285703.2391,171262.6322,0.0
300984.SZ,20241206,38.01,24.5726,47.5381,2.28,77.4175,110.2083,4.4096,2.9533,2.6695,0.5262,0.3917,7680.1946,4603.8342,2379.7382,291924.1967,174991.7379,0.0
300984.SZ,20241205,44.9,21.1777,40.9703,3.1,91.4508,130.1856,5.209,3.4886,3.1533,0.4454,0.3316,7680.1946,4603.8342,2379.7382,344840.7375,206712.1556,0.0
