ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
603382.SH,20260209,31.38,2.7159,2.7159,1.14,34.2989,41.2799,3.2808,1.0262,1.2126,0.6373,0.6373,18125.1368,3625.032,3625.032,568766.7928,113753.5042,0
603382.SH,20260206,31.05,1.862,1.862,0.73,33.9382,40.8457,3.2463,1.0154,1.1999,0.6441,0.6441,18125.1368,3625.032,3625.032,562785.4976,112557.2436,0
603382.SH,20260205,30.88,2.7183,2.7183,,33.7524,40.6221,3.2286,1.0099,1.1933,0.6477,0.6477,18125.1368,3625.032,3625.032,559704.2244,111940.9882,0
603382.SH,20260204,31.35,2.3342,2.3342,0.81,34.2661,41.2404,3.2777,1.0252,1.2115,0.638,0.638,18125.1368,3625.032,3625.032,568223.0387,113644.7532,0
603382.SH,20260203,31.19,2.2373,2.2373,0.68,34.0912,41.0299,3.261,1.02,1.2053,0.6412,0.6412,18125.1368,3625.032,3625.032,565323.0168,113064.7481,0
603382.SH,20260202,30.78,2.7087,2.7087,0.77,33.6431,40.4906,3.2181,1.0066,1.1895,0.6498,0.6498,18125.1368,3625.032,3625.032,557891.7107,111578.485,0
603382.SH,20260130,31.13,2.6804,2.6804,0.72,34.0256,40.951,3.2547,1.018,1.203,0.6425,0.6425,18125.1368,3625.032,3625.032,564235.5086,112847.2462,0
603382.SH,20260129,31.19,4.48,4.48,,34.0912,41.0299,3.261,1.02,1.2053,0.6412,0.6412,18125.1368,3625.032,3625.032,565323.0168,113064.7481,0
603382.SH,20260128,31.79,2.3914,2.3914,0.65,34.747,41.8192,3.3237,1.0396,1.2285,0.6291,0.6291,18125.1368,3625.032,3625.032,576198.0989,115239.7673,0
603382.SH,20260127,32.02,4.1506,4.1506,,34.9984,42.1218,3.3478,1.0471,1.2374,0.6246,0.6246,18125.1368,3625.032,3625.032,580366.8803,116073.5246,0
603382.SH,20260126,31.84,3.8693,3.8693,,34.8016,41.885,3.3289,1.0413,1.2304,0.6281,0.6281,18125.1368,3625.032,3625.032,577104.3557,115421.0189,0
603382.SH,20260123,32.28,3.6108,3.6108,0.96,35.2826,42.4638,3.3749,1.0556,1.2474,0.6196,0.6196,18125.1368,3625.032,3625.032,585079.4159,117016.033,0
603382.SH,20260122,32.16,2.7427,2.7427,0.61,35.1514,42.3059,3.3624,1.0517,1.2428,0.6219,0.6219,18125.1368,3625.032,3625.032,582904.3995,116581.0291,0
603382.SH,20260121,32.17,3.9888,3.9888,,35.1623,42.3191,3.3634,1.052,1.2432,0.6217,0.6217,18125.1368,3625.032,3625.032,583085.6509,116617.2794,0
603382.SH,20260120,32.12,3.8343,3.8343,,35.1077,42.2533,3.3582,1.0504,1.2412,0.6227,0.6227,18125.1368,3625.032,3625.032,582179.394,116436.0278,0
603382.SH,20260119,32.19,4.0878,4.0878,0.61,35.1842,42.3454,3.3655,1.0527,1.2439,0.6213,0.6213,18125.1368,3625.032,3625.032,583448.1536,116689.7801,0
603382.SH,20260116,32.08,4.2055,4.2055,0.56,35.064,42.2007,3.354,1.0491,1.2397,0.6234,0.6234,18125.1368,3625.032,3625.032,581454.3885,116291.0266,0
603382.SH,20260115,31.68,6.4454,6.4454,,34.6268,41.6745,3.3122,1.036,1.2242,0.6313,0.6313,18125.1368,3625.032,3625.032,574204.3338,114841.0138,0
603382.SH,20260114,31.96,7.7702,7.7702,0.68,34.9328,42.0428,3.3415,1.0452,1.2351,0.6258,0.6258,18125.1368,3625.032,3625.032,579279.3721,115856.0227,0
603382.SH,20260113,32.42,6.7192,6.7192,,35.4356,42.648,3.3896,1.0602,1.2528,0.6169,0.6169,18125.1368,3625.032,3625.032,587616.9351,117523.5374,0
603382.SH,20260112,32.97,8.3815,8.3815,0.39,36.0368,43.3715,3.4471,1.0782,1.2741,0.6066,0.6066,18125.1368,3625.032,3625.032,597585.7603,119517.305,0
603382.SH,20260109,32.93,7.9503,7.9503,0.39,35.993,43.3189,3.4429,1.0769,1.2725,0.6073,0.6073,18125.1368,3625.032,3625.032,596860.7548,119372.3038,0
603382.SH,20260108,32.92,10.5023,10.5023,,35.9821,43.3057,3.4418,1.0766,1.2722,0.6075,0.6075,18125.1368,3625.032,3625.032,596679.5035,119336.0534,0
603382.SH,20260107,33.02,23.2183,23.2183,1.44,36.0914,43.4372,3.4523,1.0798,1.276,0.6057,0.6057,18125.1368,3625.032,3625.032,598492.0171,119698.5566,0
603382.SH,20260106,34.43,35.6166,35.6166,3.55,37.6326,45.2921,3.5997,1.126,1.3305,0.5809,0.5809,18125.1368,3625.032,3625.032,624048.46,124809.8518,0
603382.SH,20260105,35.19,29.9255,29.9255,6.44,38.4633,46.2918,3.6792,1.1508,1.3599,0.5683,0.5683,18125.1368,3625.032,3625.032,637823.564,127564.8761,0
