ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
920275.BJ,20241231,6.49,4.4196,8.4481,0.93,175.8667,107.1369,4.4491,11.1282,14.5433,,,16027.76,9003.7719,4710.2215,104020.1624,58434.4796,0.0
920275.BJ,20241230,6.39,5.1387,9.8228,1.06,173.1569,105.4861,4.3805,10.9567,14.3192,,,16027.76,9003.7719,4710.2215,102417.3864,57534.1024,0.0
920275.BJ,20241227,6.97,4.8949,9.3568,0.85,188.8738,115.0608,4.7781,11.9512,15.6189,,,16027.76,9003.7719,4710.2215,111713.4872,62756.2901,0.0
920275.BJ,20241226,6.75,4.1169,7.8697,0.53,182.9122,111.429,4.6273,11.574,15.1259,,,16027.76,9003.7719,4710.2215,108187.38,60775.4603,0.0
920275.BJ,20241225,6.67,4.5618,8.7201,0.44,180.7444,110.1084,4.5725,11.4368,14.9466,,,16027.76,9003.7719,4710.2215,106905.1592,60055.1586,0.0
920275.BJ,20241224,7.22,4.9237,9.4118,0.39,195.6484,119.1878,4.9495,12.3799,16.1791,,,16027.76,9003.7719,4710.2215,115720.4272,65007.2331,0.0
920275.BJ,20241223,7.38,5.7307,10.9545,0.45,199.9841,121.829,5.0592,12.6542,16.5376,,,16027.76,9003.7719,4710.2215,118284.8688,66447.8366,0.0
920275.BJ,20241220,8.05,9.3653,17.9022,0.74,218.1398,132.8894,5.5185,13.803,18.039,,,16027.76,9003.7719,4710.2215,129023.468,72480.3638,0.0
920275.BJ,20241219,8.3,14.4828,27.6845,1.19,224.9143,137.0164,5.6899,14.2317,18.5992,,,16027.76,9003.7719,4710.2215,133030.408,74731.3068,0.0
920275.BJ,20241218,8.83,17.1721,32.8252,1.71,239.2763,145.7656,6.0532,15.1405,19.7869,,,16027.76,9003.7719,4710.2215,141525.1208,79503.3059,0.0
920275.BJ,20241217,9.36,16.5704,31.675,1.73,253.6383,154.5149,6.4165,16.0493,20.9746,,,16027.76,9003.7719,4710.2215,150019.8336,84275.305,0.0
920275.BJ,20241216,8.51,6.1726,11.7992,0.62,230.6049,140.4831,5.8338,14.5918,19.0698,,,16027.76,9003.7719,4710.2215,136396.2376,76622.0989,0.0
920275.BJ,20241213,8.6,8.8081,16.837,0.85,233.0437,141.9688,5.8955,14.7461,19.2715,,,16027.76,9003.7719,4710.2215,137838.736,77432.4383,0.0
920275.BJ,20241212,8.7,11.9537,22.8499,1.11,235.7536,143.6196,5.9641,14.9176,19.4956,,,16027.76,9003.7719,4710.2215,139441.512,78332.8155,0.0
920275.BJ,20241211,8.21,6.6887,12.7857,0.47,222.4755,135.5307,5.6282,14.0774,18.3976,,,16027.76,9003.7719,4710.2215,131587.9096,73920.9673,0.0
920275.BJ,20241210,8.45,14.2503,27.2401,0.77,228.979,139.4926,5.7927,14.4889,18.9354,,,16027.76,9003.7719,4710.2215,135434.572,76081.8726,0.0
