ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
159001.SZ,易方达保证金货币A,货币ETF,易方达保证金收益货币市场基金A类,,,20130329,20141020,L,SZ,易方达基金,交通银行股份有限公司,0.15,纯境内
159003.SZ,招商保证金快线A,招商快线ETF,招商保证金快线货币市场基金A类,,,20130517,20141020,L,SZ,招商基金,平安银行股份有限公司,0.2,纯境内
159005.SZ,汇添富收益快钱货币A,汇添富快钱ETF,汇添富收益快钱货币市场基金A类,,,20141223,20150113,L,SZ,汇添富基金,中国工商银行股份有限公司,0.15,纯境内
159100.SZ,华夏布拉德斯科巴西伊博维斯帕ETF(QDII),巴西ETF,华夏布拉德斯科巴西伊博维斯帕交易型开放式指数证券投资基金(QDII),BOVESPA.OTH,巴西IBOVESPA指数,20251105,20251113,L,SZ,华夏基金,中国工商银行股份有限公司,0.5,QDII
159101.SZ,华夏国证港股通科技ETF,港股通科技ETF基金,华夏国证港股通科技交易型开放式指数证券投资基金,987008.SZ,国证港股通科技指数,20250826,20250903,L,SZ,华夏基金,中信银行股份有限公司,0.5,纯境内
159102.SZ,华安恒生生物科技ETF,港股通生物科技ETF,华安恒生生物科技交易型开放式指数证券投资基金,HSBIO.HI,恒生生物科技指数,20250905,20250916,L,SZ,华安基金,华泰证券股份有限公司,0.5,纯境内
159103.SZ,汇添富中证金融科技主题ETF,金融科技ETF汇添富,汇添富中证金融科技主题交易型开放式指数证券投资基金,930986.CSI,中证金融科技主题指数,20250829,20250910,L,SZ,汇添富基金,中信建投证券股份有限公司,0.5,纯境内
159105.SZ,易方达恒生生物科技ETF,恒生生物科技ETF易方达,易方达恒生生物科技交易型开放式指数证券投资基金,HSBIO.HI,恒生生物科技指数,20251020,20251103,L,SZ,易方达基金,中国银行股份有限公司,0.5,纯境内
159106.SZ,前海开源中证民企300ETF,民企300ETF,前海开源中证民企300交易型开放式指数证券投资基金,931265.CSI,中证民企300指数,20250926,20251022,L,SZ,前海开源基金,国投证券股份有限公司,0.5,纯境内
159107.SZ,富国创业板软件ETF,创业板软件ETF富国,富国创业板软件交易型开放式指数证券投资基金,399264.SZ,创业板软件指数,20250910,20250922,L,SZ,富国基金,兴业银行股份有限公司,0.5,纯境内
159108.SZ,博时国证工业软件主题ETF,工业软件ETF,博时国证工业软件主题交易型开放式指数证券投资基金,980034.SZ,国证工业软件主题指数,20251112,20251124,L,SZ,博时基金,中信建投证券股份有限公司,0.5,纯境内
159109.SZ,景顺长城恒生港股通50ETF,恒生50ETF,景顺长城恒生港股通50交易型开放式指数证券投资基金,HSSC50.HI,恒生港股通50指数,20250925,20251010,L,SZ,景顺长城基金,兴业银行股份有限公司,0.5,纯境内
159110.SZ,万家深证AAA科技创新公司债ETF,科创债ETF万家,万家深证AAA科技创新公司债交易型开放式指数证券投资基金,921130.SZ,深证AAA科技创新公司债指数,20250917,20250924,L,SZ,万家基金,兴业银行股份有限公司,0.15,纯境内
159111.SZ,天弘中证AAA科技创新公司债ETF,科创债ETF天弘,天弘中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250917,20250924,L,SZ,天弘基金,招商银行股份有限公司,0.15,纯境内
159112.SZ,科创债ETF银华,科创债ETF银华,银华中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250917,20250924,L,SZ,银华基金,中信银行股份有限公司,0.15,纯境内
159113.SZ,大成中证AAA科技创新公司债ETF,科创债ETF大成,大成中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250917,20250924,L,SZ,大成基金,中国建设银行股份有限公司,0.15,纯境内
159115.SZ,华安中证AAA科技创新公司债ETF,科创债ETF华安,华安中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250917,20250924,L,SZ,华安基金,兴业银行股份有限公司,0.15,纯境内
159116.SZ,科创债ETF工银,科创债ETF工银,工银瑞信中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250917,20250924,L,SZ,工银瑞信基金,中信银行股份有限公司,0.15,纯境内
159117.SZ,鹏华港股通低波红利ETF,港股通红利低波ETF,鹏华标普港股通低波红利交易型开放式指数证券投资基金,SPAHLVCP.OTH,标普港股通低波红利指数,20250930,20251017,L,SZ,鹏华基金,兴业银行股份有限公司,0.3,纯境内
