,trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
0,20220315,000056.SZ,房地产服务,皇庭国际,6.33,-9.96,221727292.0,11417307.0,5720603196.39,7434766797.6,3.7,13632921.0,,145233,4,,1.0,D
1,20220315,000524.SZ,旅游酒店,岭南控股,9.71,9.97,139110543.0,,6507060574.91,6507725428.32,2.19,30747763.0,94200,94200,0,1/1,1.0,U
2,20220315,000656.SZ,房地产开发,金科股份,3.83,-10.09,652788576.0,58834831.0,20344234184.36,20451111667.2,3.1,6027703.0,,143415,3,,1.0,D
3,20220315,000692.SZ,公用事业,惠天热电,4.84,10.0,311986800.0,,2578886193.84,2578911603.84,12.23,,94412,,20,0/0,,Z
4,20220315,000695.SZ,造纸印刷,滨海能源,9.45,2.05,110343060.0,,2095266653.55,2099294243.55,5.1,,112357,,1,0/0,,Z
5,20220315,000736.SZ,房地产开发,中交地产,6.41,-9.97,32692889.0,2762998.0,4457729946.49,4457729991.36,0.7,124995.0,,150000,2,,1.0,D
6,20220315,000779.SZ,工程咨询,甘咨询,10.96,7.45,322371344.0,,1956544292.4,4166908353.28,16.54,,105418,,4,0/0,,Z
7,20220315,000788.SZ,化学制药,北大医药,12.0,9.99,1300276976.0,,7151849100.0,7151849088.0,18.29,158786016.0,93821,93821,0,5/5,5.0,U
8,20220315,000807.SZ,有色金属,云铝股份,12.14,-10.01,1903210640.0,203169066.0,34163214231.96,42101002933.12,5.49,39004278.0,,143909,4,,1.0,D
9,20220315,000812.SZ,包装材料,陕西金叶,5.93,-10.02,442094496.0,446102223.0,4553398574.51,4558347165.44,9.54,5640663.0,,144715,2,,1.0,D
10,20220315,000881.SZ,化学制品,中广核技,9.54,4.15,339212640.0,,7357129789.86,9019362208.32,4.64,,140042,,1,0/0,,Z
