,trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
0,20240328,000099.SZ,航空机场,中信海直,14.29,10.01,225341968.0,,10148974293.44,11085755357.76,2.22,410537309.0,92500,92500,0,2/2,2.0,U
1,20240328,000156.SZ,文化传媒,华数传媒,8.65,7.72,696878080.0,,14052792551.75,16027865675.2,5.08,,130612,,3,0/0,,Z
2,20240328,000415.SZ,多元金融,渤海租赁,2.26,10.24,352337024.0,,12187590445.1,13977017948.16,2.98,39065085.0,142145,142712,1,1/1,1.0,U
3,20240328,000420.SZ,化纤行业,吉林化纤,3.78,9.88,428411936.0,,9291346380.54,9294522310.08,4.74,106816374.0,104833,104833,0,1/1,1.0,U
4,20240328,000561.SZ,通信设备,烽火电子,8.2,10.07,66488553.0,,4936723399.8,4955036828.8,1.35,52785138.0,93000,93000,0,1/1,1.0,U
5,20240328,000571.SZ,煤炭行业,新大洲A,2.97,10.0,225869073.0,,2417687885.25,2476026653.76,9.63,1290675.0,141224,145333,2,1/1,1.0,U
6,20240328,000691.SZ,化学制品,亚太实业,4.35,5.58,124893389.0,,1406224500.0,1406224500.0,9.1,,144506,,1,0/0,,Z
7,20240328,000701.SZ,商业百货,厦门信达,4.79,10.11,284315808.0,,2493091909.62,3291583156.48,11.82,33731175.0,105306,105306,0,1/1,1.0,U
8,20240328,000712.SZ,证券,锦龙股份,11.91,7.39,492775216.0,,10662317630.25,10671360000.0,4.64,,130009,,2,0/0,,Z
9,20240328,000801.SZ,家电行业,四川九洲,13.11,8.62,1367795008.0,,13408995129.06,13408995050.4,10.29,,104942,,1,0/0,,Z
10,20240328,000903.SZ,汽车零部件,云内动力,2.7,10.2,195695776.0,,5184706449.6,5320136332.8,3.88,115848254.0,93818,93818,0,1/1,1.0,U
11,20240328,000977.SZ,计算机设,浪潮信息,44.35,10.0,7627853568.0,,65189501134.1,65289192572.0,12.08,432423986.0,104009,104009,0,1/1,1.0,U
12,20240328,001696.SZ,交运设备,宗申动力,7.38,9.99,605924128.0,,6578087170.5,8450298728.64,9.29,10500906.0,95206,145418,5,1/1,1.0,U
13,20240328,002017.SZ,通信设备,东信和平,9.38,5.39,251729847.0,,5430132258.04,5444451259.52,4.59,,111836,,2,0/0,,Z
14,20240328,002023.SZ,航天航空,海特高新,9.59,9.73,499931648.0,,7104849653.65,7104849701.6,7.17,,141315,,1,0/0,,Z
15,20240328,002085.SZ,汽车零部件,万丰奥威,15.74,9.99,2934075264.0,,33420702964.8,33420702964.8,9.07,393011540.0,95151,95221,1,1/1,1.0,U
16,20240328,002097.SZ,工程机械,山河智能,8.29,9.95,1247483856.0,,8892489337.31,8908577118.56,14.32,12106044.0,112539,145536,7,1/1,1.0,U
17,20240328,002130.SZ,非金属材,沃尔核材,11.14,5.09,3499753072.0,,13915521297.06,14035269958.4,25.39,,110842,,4,0/0,,Z
