ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market,total_mv,limit
002734.SZ,利民股份,20260204,20.01,20.9,19.92,20.25,20.09,0.7964,360008.94,733647.272,8.2885,43434.5795,江苏,农药化肥,主板,963575.2386,N
002734.SZ,利民股份,20260203,19.8,20.26,19.4,20.09,19.6,2.5,402925.12,800984.323,9.2766,43434.5795,江苏,农药化肥,主板,955961.8046,N
002734.SZ,利民股份,20260202,21.08,21.45,19.31,19.6,21.3,-7.9812,575823.34,1182008.354,13.2573,43434.5795,江苏,农药化肥,主板,932645.663,N
002734.SZ,利民股份,20260130,20.5,21.6,19.81,21.3,20.99,1.4769,731163.03,1516489.09,16.8337,43434.5795,江苏,农药化肥,主板,1013538.3991,N
002734.SZ,利民股份,20260129,19.97,21.56,19.5,20.99,19.62,6.9827,835557.96,1696355.826,19.2372,43434.5795,江苏,农药化肥,主板,998787.3708,N
002734.SZ,利民股份,20260128,18.88,20.35,18.66,19.62,19.1,2.7225,687579.19,1343395.783,15.8302,43434.5795,江苏,农药化肥,主板,933597.3423,N
002734.SZ,利民股份,20260127,18.5,19.15,18.25,19.1,18.77,1.7581,597440.98,1126458.213,13.755,43434.5795,江苏,农药化肥,主板,908853.6818,N
002734.SZ,利民股份,20260126,17.82,18.97,17.81,18.77,17.68,6.1652,692019.9,1277596.075,15.9325,43434.5795,江苏,农药化肥,主板,893150.9742,N
002734.SZ,利民股份,20260123,17.72,17.85,17.38,17.68,17.68,0.0,336352.69,592082.694,7.7439,43434.5795,江苏,农药化肥,主板,841284.4552,N
002734.SZ,利民股份,20260122,18.2,18.2,17.56,17.68,18.38,-3.8085,617584.34,1096189.701,14.2187,43434.5795,江苏,农药化肥,主板,841284.4552,N
002734.SZ,利民股份,20260121,17.89,18.58,17.66,18.38,17.66,4.077,532885.04,968341.394,12.2687,43434.5795,江苏,农药化肥,主板,874593.2289,N
002734.SZ,利民股份,20260120,17.48,17.7,17.4,17.66,17.51,0.8567,278789.51,489456.367,6.4186,43434.5795,江苏,农药化肥,主板,840332.776,N
002734.SZ,利民股份,20260119,16.78,17.68,16.76,17.51,16.77,4.4126,368097.62,636510.131,8.4748,43434.5795,江苏,农药化肥,主板,833195.1816,N
002734.SZ,利民股份,20260116,17.11,17.19,16.51,16.77,17.1,-1.9298,299618.7,501837.923,6.8982,43434.5795,江苏,农药化肥,主板,797983.0494,N
002734.SZ,利民股份,20260115,16.7,17.4,16.6,17.1,16.76,2.0286,288225.52,493070.414,6.6359,43434.5795,江苏,农药化肥,主板,813685.757,N
002734.SZ,利民股份,20260114,16.58,17.1,16.52,16.76,16.67,0.5399,229837.88,386538.736,5.2916,43434.5795,江苏,农药化肥,主板,797507.2098,N
002734.SZ,利民股份,20260113,16.82,17.08,16.58,16.67,16.83,-0.9507,226920.94,382172.529,5.2244,43434.5795,江苏,农药化肥,主板,793224.6532,N
002734.SZ,利民股份,20260112,16.72,16.88,16.62,16.83,16.8,0.1786,154325.42,258536.51,3.5531,43434.5795,江苏,农药化肥,主板,800838.0872,N
002734.SZ,利民股份,20260109,16.67,16.82,16.56,16.8,16.74,0.3584,167865.27,280719.563,3.8648,43434.5795,江苏,农药化肥,主板,799410.5683,N
002734.SZ,利民股份,20260108,16.58,16.92,16.51,16.74,16.6,0.8434,145289.66,243643.225,3.345,43434.5795,江苏,农药化肥,主板,796555.5306,N
002734.SZ,利民股份,20260107,16.95,16.97,16.43,16.6,16.97,-2.1803,223911.88,372734.174,5.1552,43434.5795,江苏,农药化肥,主板,789893.7758,N
002734.SZ,利民股份,20260106,16.83,17.35,16.7,16.97,16.91,0.3548,239720.67,409475.24,5.5191,43434.5795,江苏,农药化肥,主板,807499.8419,N
002734.SZ,利民股份,20260105,15.95,17.08,15.94,16.91,15.94,6.0853,365252.16,605973.638,8.541,42764.5537,江苏,农药化肥,主板,793304.1837,N
002734.SZ,利民股份,20251231,16.02,16.05,15.79,15.94,16.01,-0.4372,84729.71,134728.577,1.9813,42764.5537,江苏,农药化肥,主板,747798.2666,N
002734.SZ,利民股份,20251230,16.0,16.21,15.86,16.01,16.04,-0.187,98930.44,158921.898,2.3134,42764.5537,江苏,农药化肥,主板,751082.1988,N
002734.SZ,利民股份,20251229,16.23,16.25,15.98,16.04,16.22,-1.1097,101957.73,164019.227,2.3842,42764.5537,江苏,农药化肥,主板,752489.5983,N
002734.SZ,利民股份,20251226,16.19,16.36,16.06,16.22,16.19,0.1853,131254.34,212664.527,3.0692,42764.5537,江苏,农药化肥,主板,760933.9953,N
002734.SZ,利民股份,20251225,15.98,16.2,15.91,16.19,15.99,1.2508,110155.74,177688.003,2.5759,42764.5537,江苏,农药化肥,主板,759526.5958,N
002734.SZ,利民股份,20251224,15.91,16.0,15.8,15.99,15.95,0.2508,82068.43,130713.782,1.9191,42764.5537,江苏,农药化肥,主板,750143.9324,N
002734.SZ,利民股份,20251223,16.07,16.12,15.86,15.95,16.07,-0.7467,100526.81,160381.221,2.3507,42764.5537,江苏,农药化肥,主板,748267.3998,N
002734.SZ,利民股份,20251222,16.18,16.21,16.01,16.07,16.21,-0.8637,131116.58,211053.932,3.2105,40839.76,江苏,农药化肥,主板,722965.563,N
002734.SZ,利民股份,20251219,15.83,16.34,15.69,16.21,15.92,1.8216,209738.97,336109.578,5.1357,40839.76,江苏,农药化肥,主板,729263.9562,N
002734.SZ,利民股份,20251218,15.67,16.38,15.67,15.92,15.58,2.1823,247662.69,398707.847,6.0643,40839.76,江苏,农药化肥,主板,716217.2846,N
002734.SZ,利民股份,20251217,15.42,15.68,15.31,15.58,15.41,1.1032,125261.71,193657.857,3.0672,40839.76,江苏,农药化肥,主板,700921.1868,N
002734.SZ,利民股份,20251216,15.87,15.88,15.4,15.41,15.9,-3.0818,114052.46,177135.536,2.7927,40839.76,江苏,农药化肥,主板,693273.1379,N
002734.SZ,利民股份,20251215,15.63,16.05,15.6,15.9,15.63,1.7274,127278.63,202032.803,3.1165,40839.76,江苏,农药化肥,主板,715317.5141,N
002734.SZ,利民股份,20251212,15.52,15.79,15.52,15.63,15.59,0.2566,111158.35,174484.481,2.7218,40839.76,江苏,农药化肥,主板,703170.6129,N
002734.SZ,利民股份,20251211,16.0,16.02,15.58,15.59,16.0,-2.5625,151921.09,239026.414,3.7199,40839.76,江苏,农药化肥,主板,701371.072,N
002734.SZ,利民股份,20251210,15.87,16.02,15.78,16.0,15.94,0.3764,119446.94,189717.512,2.9248,40839.76,江苏,农药化肥,主板,719816.3664,N
002734.SZ,利民股份,20251209,16.06,16.23,15.92,15.94,16.14,-1.2392,146907.62,235588.243,3.5972,40839.76,江苏,农药化肥,主板,717117.055,N
002734.SZ,利民股份,20251208,16.07,16.24,16.06,16.14,16.38,-1.4652,188869.77,305128.827,4.6914,40258.8469,江苏,农药化肥,主板,716738.8222,N
002734.SZ,利民股份,20251205,16.27,16.42,15.97,16.38,16.4,-0.122,110681.3,179654.986,2.7492,40258.8469,江苏,农药化肥,主板,727396.6485,N
