ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market,total_mv,limit
603137.SH,恒尚节能,20260206,14.56,14.7,14.45,14.56,14.59,-0.2056,15413.8,22538.98,2.0905,7373.3334,江苏,装修装饰,主板,266350.9343,N
603137.SH,恒尚节能,20260205,14.59,14.66,14.5,14.59,14.56,0.206,12912.6,18833.654,1.7513,7373.3334,江苏,装修装饰,主板,266899.7343,N
603137.SH,恒尚节能,20260204,14.49,14.6,14.46,14.56,14.48,0.5525,16269.0,23650.29,2.2065,7373.3334,江苏,装修装饰,主板,266350.9343,N
603137.SH,恒尚节能,20260203,14.35,14.55,14.28,14.48,14.28,1.4006,17770.6,25659.747,2.4101,7373.3334,江苏,装修装饰,主板,264887.4676,N
603137.SH,恒尚节能,20260202,14.41,14.56,14.25,14.28,14.4,-0.8333,21662.8,31302.786,2.938,7373.3334,江苏,装修装饰,主板,261228.801,N
603137.SH,恒尚节能,20260130,14.17,14.48,14.13,14.4,14.18,1.5515,23272.8,33440.03,3.1563,7373.3334,江苏,装修装饰,主板,263424.001,N
603137.SH,恒尚节能,20260129,14.2,14.39,14.03,14.18,14.24,-0.4213,16757.2,23814.169,2.2727,7373.3334,江苏,装修装饰,主板,259399.4676,N
603137.SH,恒尚节能,20260128,14.37,14.41,14.22,14.24,14.41,-1.1797,8626.63,12330.124,1.17,7373.3334,江苏,装修装饰,主板,260497.0676,N
603137.SH,恒尚节能,20260127,14.4,14.42,14.01,14.41,14.45,-0.2768,13765.0,19608.506,1.8669,7373.3334,江苏,装修装饰,主板,263606.9343,N
603137.SH,恒尚节能,20260126,14.55,14.6,14.23,14.45,14.51,-0.4135,15654.35,22517.405,2.1231,7373.3334,江苏,装修装饰,主板,264338.6676,N
603137.SH,恒尚节能,20260123,14.69,14.69,14.49,14.51,14.61,-0.6845,10123.0,14731.235,1.3729,7373.3334,江苏,装修装饰,主板,265436.2676,N
603137.SH,恒尚节能,20260122,14.42,14.65,14.38,14.61,14.42,1.3176,15961.75,23243.321,2.1648,7373.3334,江苏,装修装饰,主板,267265.601,N
603137.SH,恒尚节能,20260121,14.34,14.44,14.3,14.42,14.41,0.0694,13571.8,19502.737,1.8407,7373.3334,江苏,装修装饰,主板,263789.8676,N
603137.SH,恒尚节能,20260120,14.36,14.62,14.32,14.41,14.39,0.139,23155.82,33449.427,3.1405,7373.3334,江苏,装修装饰,主板,263606.9343,N
603137.SH,恒尚节能,20260119,14.2,14.39,14.13,14.39,14.19,1.4094,16909.4,24186.977,2.2933,7373.3334,江苏,装修装饰,主板,263241.0676,N
603137.SH,恒尚节能,20260116,14.23,14.29,14.15,14.19,14.24,-0.3511,11413.4,16209.693,1.5479,7373.3334,江苏,装修装饰,主板,259582.4009,N
603137.SH,恒尚节能,20260115,14.15,14.28,14.1,14.24,14.22,0.1406,12272.4,17463.702,1.6644,7373.3334,江苏,装修装饰,主板,260497.0676,N
603137.SH,恒尚节能,20260114,14.22,14.3,14.04,14.22,14.24,-0.1404,15596.8,22121.672,2.1153,7373.3334,江苏,装修装饰,主板,260131.2009,N
603137.SH,恒尚节能,20260113,14.17,14.28,14.0,14.24,14.17,0.494,17434.82,24754.293,2.3646,7373.3334,江苏,装修装饰,主板,260497.0676,N
603137.SH,恒尚节能,20260112,14.11,14.2,14.02,14.17,14.1,0.4965,18200.8,25732.346,2.4685,7373.3334,江苏,装修装饰,主板,259216.5343,N
603137.SH,恒尚节能,20260109,14.1,14.2,13.96,14.1,14.11,-0.0709,10952.63,15408.886,1.4854,7373.3334,江苏,装修装饰,主板,257936.0009,N
603137.SH,恒尚节能,20260108,13.97,14.18,13.88,14.11,14.05,0.427,14405.0,20282.443,1.9537,7373.3334,江苏,装修装饰,主板,258118.9343,N
603137.SH,恒尚节能,20260107,14.2,14.2,13.91,14.05,14.2,-1.0563,15285.0,21436.061,2.073,7373.3334,江苏,装修装饰,主板,257021.3343,N
603137.SH,恒尚节能,20260106,14.15,14.27,13.97,14.2,14.05,1.0676,16096.8,22780.341,2.1831,7373.3334,江苏,装修装饰,主板,259765.3343,N
603137.SH,恒尚节能,20260105,13.74,14.1,13.72,14.05,13.74,2.2562,22999.8,32150.183,3.1193,7373.3334,江苏,装修装饰,主板,257021.3343,N
603137.SH,恒尚节能,20251231,13.75,13.81,13.6,13.74,13.75,-0.0727,18858.22,25780.366,2.5576,7373.3334,江苏,装修装饰,主板,251350.4009,N
603137.SH,恒尚节能,20251230,13.96,13.96,13.71,13.75,13.95,-1.4337,11176.0,15438.066,1.5157,7373.3334,江苏,装修装饰,主板,251533.3343,N
603137.SH,恒尚节能,20251229,13.97,13.98,13.63,13.95,13.99,-0.2859,14382.0,19825.266,1.9505,7373.3334,江苏,装修装饰,主板,255192.0009,N
603137.SH,恒尚节能,20251226,14.15,14.15,13.91,13.99,14.1,-0.7801,10788.2,15112.927,1.4631,7373.3334,江苏,装修装饰,主板,255923.7343,N
603137.SH,恒尚节能,20251225,14.09,14.14,13.98,14.1,14.04,0.4274,14464.8,20359.448,1.9618,7373.3334,江苏,装修装饰,主板,257936.0009,N
603137.SH,恒尚节能,20251224,13.95,14.08,13.86,14.04,13.94,0.7174,13346.6,18683.993,1.8101,7373.3334,江苏,装修装饰,主板,256838.4009,N
603137.SH,恒尚节能,20251223,13.99,14.0,13.8,13.94,14.0,-0.4286,14926.0,20706.691,2.0243,7373.3334,江苏,装修装饰,主板,255009.0676,N
603137.SH,恒尚节能,20251222,14.12,14.18,13.87,14.0,14.12,-0.8499,17450.4,24465.297,2.3667,7373.3334,江苏,装修装饰,主板,256106.6676,N
603137.SH,恒尚节能,20251219,13.84,14.12,13.82,14.12,13.83,2.0969,21478.19,29965.835,2.913,7373.3334,江苏,装修装饰,主板,258301.8676,N
603137.SH,恒尚节能,20251218,13.66,13.98,13.58,13.83,13.69,1.0226,16005.0,22125.339,2.1707,7373.3334,江苏,装修装饰,主板,252996.8009,N
603137.SH,恒尚节能,20251217,13.65,13.75,13.4,13.69,13.69,0.0,16042.0,21783.295,2.1757,7373.3334,江苏,装修装饰,主板,250435.7342,N
603137.SH,恒尚节能,20251216,13.85,13.85,13.43,13.69,13.86,-1.2266,13486.5,18413.118,1.8291,7373.3334,江苏,装修装饰,主板,250435.7342,N
603137.SH,恒尚节能,20251215,13.81,13.88,13.66,13.86,13.88,-0.1441,11607.0,16009.431,1.5742,7373.3334,江苏,装修装饰,主板,253545.6009,N
603137.SH,恒尚节能,20251212,13.97,14.15,13.77,13.88,13.99,-0.7863,14477.0,20149.29,1.9634,7373.3334,江苏,装修装饰,主板,253911.4676,N
603137.SH,恒尚节能,20251211,14.37,14.38,13.9,13.99,14.35,-2.5087,17265.17,24371.45,2.3416,7373.3334,江苏,装修装饰,主板,255923.7343,N
603137.SH,恒尚节能,20251210,14.65,14.69,14.35,14.35,14.65,-2.0478,18144.0,26319.747,2.4608,7373.3334,江苏,装修装饰,主板,262509.3343,N
603137.SH,恒尚节能,20251209,14.75,14.77,14.6,14.65,14.74,-0.6106,16689.0,24489.79,2.2634,7373.3334,江苏,装修装饰,主板,267997.3343,N
603137.SH,恒尚节能,20251208,14.75,14.87,14.63,14.74,14.71,0.2039,25976.62,38324.083,3.523,7373.3334,江苏,装修装饰,主板,269643.7343,N
