ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market,total_mv,limit
920857.BJ,泓禧科技,20260209,26.8,26.8,26.2,26.46,26.28,0.6849,4933.31,13026.297,0.6666,7400.7152,重庆,元器件,北交所,195822.9242,N
920857.BJ,泓禧科技,20260206,26.47,26.99,26.23,26.28,26.59,-1.1659,5886.53,15703.671,0.7954,7400.7152,重庆,元器件,北交所,194490.7955,N
920857.BJ,泓禧科技,20260205,26.65,27.4,26.0,26.59,26.72,-0.4865,12106.15,32154.733,1.6358,7400.7152,重庆,元器件,北交所,196785.0172,N
920857.BJ,泓禧科技,20260204,28.03,28.03,26.62,26.72,27.9,-4.2294,6726.67,18284.456,0.9089,7400.7152,重庆,元器件,北交所,197747.1101,N
920857.BJ,泓禧科技,20260203,27.05,27.95,26.41,27.9,26.76,4.2601,10148.46,27884.999,1.3713,7400.7152,重庆,元器件,北交所,206479.9541,N
920857.BJ,泓禧科技,20260202,27.61,27.81,26.7,26.76,27.38,-2.2644,6224.2,16902.36,0.841,7400.7152,重庆,元器件,北交所,198043.1388,N
920857.BJ,泓禧科技,20260130,27.88,28.27,27.18,27.38,28.14,-2.7008,10084.63,27879.517,1.3627,7400.7152,重庆,元器件,北交所,202631.5822,N
920857.BJ,泓禧科技,20260129,28.71,29.2,27.7,28.14,28.86,-2.4948,10320.16,29108.906,1.3945,7400.7152,重庆,元器件,北交所,208256.1257,N
920857.BJ,泓禧科技,20260128,28.3,29.02,27.57,28.86,28.29,2.0148,12474.62,35660.796,1.6856,7400.7152,重庆,元器件,北交所,213584.6407,N
920857.BJ,泓禧科技,20260127,31.27,31.27,27.11,28.29,31.27,-9.5299,34268.73,98026.683,4.6305,7400.7152,重庆,元器件,北交所,209366.233,N
920857.BJ,泓禧科技,20260126,33.58,34.45,31.25,31.27,33.78,-7.4304,20252.88,66240.666,2.7366,7400.7152,重庆,元器件,北交所,231420.3643,N
920857.BJ,泓禧科技,20260123,32.89,34.8,32.3,33.78,32.94,2.5501,17688.52,59840.185,2.3901,7400.7152,重庆,元器件,北交所,249996.1595,N
920857.BJ,泓禧科技,20260122,32.22,32.98,31.88,32.94,32.39,1.6981,12329.37,39964.9,1.666,7400.7152,重庆,元器件,北交所,243779.5587,N
920857.BJ,泓禧科技,20260121,32.0,32.96,31.57,32.39,31.73,2.0801,16105.18,52133.448,2.1762,7400.7152,重庆,元器件,北交所,239709.1653,N
920857.BJ,泓禧科技,20260120,31.51,31.93,31.06,31.73,31.52,0.6662,7890.83,24807.579,1.0662,7400.7152,重庆,元器件,北交所,234824.6933,N
920857.BJ,泓禧科技,20260119,31.6,32.35,31.4,31.52,31.98,-1.4384,9991.39,31661.294,1.3501,7400.7152,重庆,元器件,北交所,233270.5431,N
920857.BJ,泓禧科技,20260116,31.3,32.17,31.04,31.98,31.58,1.2666,14722.18,46652.266,1.9893,7400.7152,重庆,元器件,北交所,236674.8721,N
920857.BJ,泓禧科技,20260115,30.77,32.3,30.5,31.58,31.07,1.6415,18380.16,58395.444,2.4836,7400.7152,重庆,元器件,北交所,233714.586,N
920857.BJ,泓禧科技,20260114,31.65,32.05,30.66,31.07,31.56,-1.5526,24549.36,76662.627,3.3172,7400.7152,重庆,元器件,北交所,229940.2213,N
920857.BJ,泓禧科技,20260113,32.88,32.88,31.1,31.56,33.23,-5.0256,22947.46,73290.46,3.1007,7400.7152,重庆,元器件,北交所,233566.5717,N
920857.BJ,泓禧科技,20260112,37.0,37.0,31.96,33.23,35.43,-6.2094,44673.41,147568.213,6.0364,7400.7152,重庆,元器件,北交所,245925.7661,N
920857.BJ,泓禧科技,20260109,36.4,36.59,34.99,35.43,36.0,-1.5833,12309.07,43774.421,1.6632,7400.7152,重庆,元器件,北交所,262207.3395,N
920857.BJ,泓禧科技,20260108,36.95,36.95,35.8,36.0,37.28,-3.4335,13291.58,48011.538,1.796,7400.7152,重庆,元器件,北交所,266425.7472,N
